metodo,intento,tamaño,pasos,h,tiempo en s,,metodo,tamaño,porcentaje de exito,promedio de tiempo en s,desviación estandar,promedio de pasos,desviacion estandar de pasos
hc,28,12,6,1,"7,058294058",,,,,,,,
hc,29,12,5,2,"6,054405928",,,,,,,,
hc,0,15,6,2,"7,108238697",,,,,,,,
hc,1,15,5,3,"6,084100962",,,,,,,,
hc,2,15,4,3,"5,075322151",,,,,,,,
hc,3,15,7,2,"8,114581108",,,,,,,,
hc,4,15,7,2,"8,119750261",,,,,,,,
hc,5,15,7,2,"8,11864686",,,,,,,,
hc,6,15,6,3,"7,116936922",,,,,,,,
hc,7,15,8,0,"9,132324934",,,,,,,,
hc,8,15,3,3,"4,052919626",,,,,,,,
hc,9,15,5,2,"6,089406013",,,,,,,,
hc,10,15,6,2,"7,091320038",,,,,,,,
hc,11,15,6,3,"7,109280109",,,,,,,,
hc,12,15,5,1,"6,088196993",,,,,,,,
hc,13,15,4,2,"5,078783035",,,,,,,,
hc,14,15,4,2,"5,082444906",,,,,,,,
hc,15,15,4,3,"5,066980839",,,,,,,,
hc,16,15,5,2,"6,089276075",,,,,,,,
hc,17,15,7,2,"8,115355015",,,,,,,,
hc,18,15,7,1,"8,110831022",,,,,,,,
hc,19,15,8,1,"9,135513067",,,,,,,,
hc,20,15,8,1,"9,127298117",,,,,,,,
hc,21,15,7,1,"8,1179111",,,,,,,,
hc,22,15,6,2,"7,101234198",,,,,,,,
hc,23,15,6,2,"7,104240894",,,,,,,,
hc,24,15,6,1,"7,111653805",,,,,,,,
hc,25,15,4,3,"5,078423738",,,,,,,,
hc,26,15,8,1,"9,134680986",,,,,,,,
hc,27,15,7,2,"8,104969025",,,,,,,,
hc,28,15,7,2,"8,112926006",,,,,,,,
hc,29,15,7,2,"8,125078917",,,,,,,,
